Neighbourhood,assault 2014,assault 2015,assault 2016,assault 2017,assault 2018,assault 2019,assault 2020,assault 2021,assault 2022,assault 2023,autotheft 2014,autotheft 2015,autotheft 2016,autotheft 2017,autotheft 2018,autotheft 2019,autotheft 2020,autotheft 2021,autotheft 2022,autotheft 2023,biketheft 2014,biketheft 2015,biketheft 2016,biketheft 2017,biketheft 2018,biketheft 2019,biketheft 2020,biketheft 2021,biketheft 2022,biketheft 2023,breakenter 2014,breakenter 2015,breakenter 2016,breakenter 2017,breakenter 2018,breakenter 2019,breakenter 2020,breakenter 2021,breakenter 2022,breakenter 2023,homicide 2014,homicide 2015,homicide 2016,homicide 2017,homicide 2018,homicide 2019,homicide 2020,homicide 2021,homicide 2022,homicide 2023,robbery 2014,robbery 2015,robbery 2016,robbery 2017,robbery 2018,robbery 2019,robbery 2020,robbery 2021,robbery 2022,robbery 2023,shooting 2014,shooting 2015,shooting 2016,shooting 2017,shooting 2018,shooting 2019,shooting 2020,shooting 2021,shooting 2022,shooting 2023,theftfrommv 2014,theftfrommv 2015,theftfrommv 2016,theftfrommv 2017,theftfrommv 2018,theftfrommv 2019,theftfrommv 2020,theftfrommv 2021,theftfrommv 2022,theftfrommv 2023,theftover 2014,theftover 2015,theftover 2016,theftover 2017,theftover 2018,theftover 2019,theftover 2020,theftover 2021,theftover 2022,theftover 2023
South Eglinton-Davisville,63,61,70,82,85,70,82,121,128,101,5,4,3,8,15,8,15,15,10,21,17,19,27,34,30,42,94,34,18,37,27,32,25,37,48,83,70,44,26,43,0,0,1,0,0,1,1,1,0,0,12,10,9,7,17,5,16,11,16,3,1,0,1,0,1,1,1,0,1,0,18,19,13,17,19,24,43,22,43,40,4,3,4,1,3,3,5,6,3,8
North Toronto,45,52,43,52,55,77,72,104,130,105,4,1,2,2,4,4,11,14,10,18,5,13,9,13,17,22,50,22,10,22,25,44,15,24,42,36,88,49,46,31,0,0,0,0,0,1,1,0,0,0,5,10,7,6,9,19,3,10,11,14,0,0,0,0,0,0,0,1,1,0,18,6,13,13,7,18,24,17,23,41,2,3,2,2,5,4,6,2,4,7
Dovercourt Village,56,57,79,94,94,96,75,101,95,104,8,10,18,11,11,12,18,8,25,28,26,34,52,45,30,26,28,26,20,38,38,21,37,39,50,83,47,19,33,46,1,0,0,1,0,2,1,0,0,0,24,19,13,38,31,14,15,22,10,21,0,0,2,0,0,0,0,2,0,1,40,34,49,42,82,67,67,18,28,24,5,3,5,3,4,3,3,2,4,3
Junction-Wallace Emerson,154,157,166,157,157,182,169,178,139,229,19,17,12,17,29,23,44,35,47,34,40,41,50,62,65,70,54,36,36,55,37,46,41,51,91,103,110,76,56,82,1,3,0,1,0,1,0,0,0,0,26,30,26,27,18,30,22,11,20,18,0,2,1,5,3,2,5,3,3,2,70,26,48,73,153,125,139,52,61,57,5,5,6,6,7,4,9,8,8,9
Yonge-Bay Corridor,394,524,487,603,576,660,383,323,443,543,12,20,20,14,27,38,14,17,29,46,223,156,202,215,267,219,173,169,230,228,69,115,61,125,100,119,149,112,123,108,1,2,0,0,1,2,0,1,1,1,73,52,74,88,88,63,55,51,55,62,1,3,0,3,4,4,2,0,1,2,121,103,79,89,113,171,135,64,107,76,37,30,27,35,44,63,35,26,51,51
Bay-Cloverhill,104,100,123,154,135,164,101,147,120,142,6,4,6,7,15,13,9,22,14,17,78,87,99,99,96,70,59,58,68,56,26,45,58,54,71,82,79,38,43,61,0,0,0,0,0,1,0,0,0,0,11,15,19,19,29,36,19,23,19,20,0,0,0,0,1,0,0,0,1,1,36,25,24,15,32,33,35,20,26,40,16,13,13,14,10,10,7,10,9,13
Bendale-Glen Andrew,137,148,172,166,182,204,134,129,166,237,35,37,42,25,39,35,46,76,83,144,10,7,4,23,2,3,1,4,6,10,71,33,30,27,33,30,20,19,24,29,0,0,2,0,0,1,1,0,2,0,52,55,48,67,44,35,19,49,54,55,1,1,3,5,1,3,7,5,7,1,84,64,44,64,53,50,44,41,69,76,6,8,8,17,13,8,4,7,13,20
Downsview,114,127,131,137,127,143,128,134,153,208,37,32,38,31,31,69,52,61,127,95,7,4,9,4,10,8,5,6,6,8,30,33,28,26,42,37,45,28,32,74,1,0,0,0,1,2,2,0,0,0,30,25,11,15,34,20,7,11,25,28,4,2,2,5,2,7,3,0,4,3,58,51,62,51,63,72,76,55,64,70,5,11,3,13,3,7,10,5,15,17
Oakdale-Beverley Heights,221,232,230,278,302,295,235,293,310,447,66,70,51,53,77,93,103,115,107,161,5,8,7,1,7,8,11,9,14,12,57,43,24,32,44,80,44,63,50,89,0,0,1,2,0,1,0,0,2,1,41,39,36,49,38,41,50,29,39,30,4,4,4,6,7,3,5,9,7,6,75,41,43,62,117,119,158,113,106,73,10,4,8,9,11,7,14,18,19,23
Avondale,38,40,43,49,74,46,43,56,37,50,9,4,6,1,8,15,33,34,19,25,3,8,17,22,6,13,37,20,29,9,11,9,7,11,13,13,13,17,8,19,0,0,0,0,11,0,1,0,1,0,4,4,3,10,11,5,9,8,4,6,1,0,0,1,0,0,1,0,0,1,10,7,14,9,9,22,36,27,40,64,2,1,6,5,5,4,3,5,9,5
